src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
216.64.61.174,192.168.29.172,0.0,54,0,0,1,20,0,0,0
64.139.130.2,192.168.29.172,0.0,54,0,0,1,20,0,0,0
252.146.171.12,192.168.29.172,0.0,54,0,0,1,20,0,0,0
122.237.15.5,192.168.29.172,0.0,54,0,0,1,20,0,0,0
58.44.34.95,192.168.29.172,0.0,54,0,0,1,20,0,0,0
41.190.198.66,192.168.29.172,0.0,54,0,0,1,20,0,0,0
253.87.236.81,192.168.29.172,0.0,54,0,0,1,20,0,0,0
10.24.94.182,192.168.29.172,0.0,54,0,0,1,20,0,0,0
0.167.238.165,192.168.29.172,0.0,54,0,0,1,20,0,0,0
195.175.64.139,192.168.29.172,0.0,54,0,0,1,20,0,0,0
129.94.58.127,192.168.29.172,0.0,54,0,0,1,20,0,0,0
174.0.114.177,192.168.29.172,0.0,54,0,0,1,20,0,0,0
238.97.236.171,192.168.29.172,0.0,54,0,0,1,20,0,0,0
118.74.27.86,192.168.29.172,0.0,54,0,0,1,20,0,0,0
200.228.217.37,192.168.29.172,0.0,54,0,0,1,20,0,0,0
225.203.101.77,192.168.29.172,0.0,54,0,0,1,20,0,0,0
226.107.122.118,192.168.29.172,0.0,54,0,0,1,20,0,0,0
236.31.184.177,192.168.29.172,0.0,54,0,0,1,20,0,0,0
233.166.216.134,192.168.29.172,0.0,54,0,0,1,20,0,0,0
122.125.116.87,192.168.29.172,0.0,54,0,0,1,20,0,0,0
149.53.165.74,192.168.29.172,0.0,54,0,0,1,20,0,0,0
238.171.187.43,192.168.29.172,0.0,54,0,0,1,20,0,0,0
144.116.149.250,192.168.29.172,0.0,54,0,0,1,20,0,0,0
149.154.122.86,192.168.29.172,0.0,54,0,0,1,20,0,0,0
252.205.171.208,192.168.29.172,0.0,54,0,0,1,20,0,0,0
205.96.41.95,192.168.29.172,0.0,54,0,0,1,20,0,0,0
31.122.17.232,192.168.29.172,0.0,54,0,0,1,20,0,0,0
240.194.34.252,192.168.29.172,0.0,54,0,0,1,20,0,0,0
13.130.175.161,192.168.29.172,0.0,54,0,0,1,20,0,0,0
226.27.94.122,192.168.29.172,0.0,54,0,0,1,20,0,0,0
